Vertice: 1, Nivel: 0, Pai: 1
Vertice: 32288, Nivel: 1, Pai: 32288
Vertice: 32287, Nivel: 1, Pai: 32287
Vertice: 32120, Nivel: 1, Pai: 32120
Vertice: 31832, Nivel: 1, Pai: 31832
Vertice: 31771, Nivel: 1, Pai: 31771
Vertice: 31687, Nivel: 1, Pai: 31687
Vertice: 31566, Nivel: 1, Pai: 31566
Vertice: 31250, Nivel: 1, Pai: 31250
Vertice: 31109, Nivel: 1, Pai: 31109
Vertice: 31066, Nivel: 1, Pai: 31066
Vertice: 30857, Nivel: 1, Pai: 30857
Vertice: 30700, Nivel: 1, Pai: 30700
Vertice: 30682, Nivel: 1, Pai: 30682
Vertice: 30630, Nivel: 1, Pai: 30630
Vertice: 30618, Nivel: 1, Pai: 30618
Vertice: 30613, Nivel: 1, Pai: 30613
Vertice: 30521, Nivel: 1, Pai: 30521
Vertice: 30501, Nivel: 1, Pai: 30501
Vertice: 30499, Nivel: 1, Pai: 30499
Vertice: 30481, Nivel: 1, Pai: 30481
Vertice: 30456, Nivel: 1, Pai: 30456
Vertice: 30447, Nivel: 1, Pai: 30447
Vertice: 30398, Nivel: 1, Pai: 30398
Vertice: 30390, Nivel: 1, Pai: 30390
Vertice: 30373, Nivel: 1, Pai: 30373
Vertice: 30371, Nivel: 1, Pai: 30371
Vertice: 30370, Nivel: 1, Pai: 30370
Vertice: 30359, Nivel: 1, Pai: 30359
Vertice: 30358, Nivel: 1, Pai: 30358
Vertice: 30326, Nivel: 1, Pai: 30326
Vertice: 30296, Nivel: 1, Pai: 30296
Vertice: 30274, Nivel: 1, Pai: 30274
Vertice: 30264, Nivel: 1, Pai: 30264
Vertice: 30260, Nivel: 1, Pai: 30260
Vertice: 30227, Nivel: 1, Pai: 30227
Vertice: 30204, Nivel: 1, Pai: 30204
Vertice: 30199, Nivel: 1, Pai: 30199
Vertice: 30133, Nivel: 1, Pai: 30133
Vertice: 30128, Nivel: 1, Pai: 30128
